mode,date,h,model,yhat,lo,hi
rail_monorail,2026-08-13,13,lgbm,61170.396536948836,55448.87552892062,65645.51312590041
rail_monorail,2026-08-14,14,lgbm,64635.91924337362,59609.09222800605,70050.51170771659
rail_komuter,2026-08-01,1,seasonal_naive,12230.0,11030.035862367073,14169.840060895334
rail_komuter,2026-08-02,2,seasonal_naive,10571.0,9092.91327570242,12594.326800008575
rail_komuter,2026-08-03,3,seasonal_naive,23035.0,17492.825674016745,29793.533202065373
rail_komuter,2026-08-04,4,seasonal_naive,23179.0,19532.584019664322,28283.636721246512
rail_komuter,2026-08-05,5,seasonal_naive,22126.0,17987.975511351986,25741.276217870283
rail_komuter,2026-08-06,6,seasonal_naive,23089.0,18714.66860464104,25778.64975863815
rail_komuter,2026-08-07,7,seasonal_naive,25518.0,19359.883888687673,28416.954602452344
rail_komuter,2026-08-08,8,seasonal_naive,12230.0,10788.086107559506,14304.671313446996
rail_komuter,2026-08-09,9,seasonal_naive,10571.0,8837.599986307054,12597.019877496876
rail_komuter,2026-08-10,10,seasonal_naive,23035.0,19391.001095865606,28420.996996689773
rail_komuter,2026-08-11,11,seasonal_naive,23179.0,19267.388080318062,27774.25736575777
rail_komuter,2026-08-12,12,seasonal_naive,22126.0,18187.63432073684,26829.83268390531
rail_komuter,2026-08-13,13,seasonal_naive,23089.0,20310.185807007605,26629.67524606219
rail_komuter,2026-08-14,14,seasonal_naive,25518.0,22271.842296109182,28803.025799234107
rail_komuter,2026-08-01,1,weekday_mean,12163.25,10938.830531841002,13604.49603200293
rail_komuter,2026-08-02,2,weekday_mean,11341.0,9766.372389119057,13280.1206481055
rail_komuter,2026-08-03,3,weekday_mean,23325.5,18705.841744447476,27282.834243247136
rail_komuter,2026-08-04,4,weekday_mean,23837.75,18109.56440336571,27520.28589414112
rail_komuter,2026-08-05,5,weekday_mean,23583.0,19768.289715,27031.21835810373
rail_komuter,2026-08-06,6,weekday_mean,22678.25,18773.464631240764,25448.28626251743
rail_komuter,2026-08-07,7,weekday_mean,24095.5,19047.39243993348,27554.787015078433
